match_date,surface,best_of,winner,loser,wsets,lsets
2000-01-17,Hard,5,Llodra M.,Gaudio G.,3,0
2000-01-17,Hard,5,Martin T.,Black B.,3,2
2000-01-17,Hard,5,Mirnyi M.,Agenor R.,3,1
2000-01-17,Hard,5,Norman M.,Mamiit C.,3,1
2000-01-17,Hard,5,Novak J.,Hipfl M.,3,2
2000-01-17,Hard,5,Paes L.,Petrovic D.,3,1
2000-01-17,Hard,5,Philippoussis M.,Okun N.,3,2
2000-01-17,Hard,5,Portas A.,Kuerten G.,3,2
2000-01-17,Hard,5,Pozzi G.,Zib T.,3,1
2000-01-17,Hard,5,Pretzsch A.,O'Brien A.,3,0
2000-01-17,Hard,5,Rochus C.,Costa A.,3,1
2000-01-17,Hard,5,Rosset M.,Delgado J.,3,0
2000-01-17,Hard,5,Sampras P.,Arthurs W.,3,0
2000-01-17,Hard,5,Schalken S.,Blanco G.,3,0
2000-01-17,Hard,5,Schuettler R.,Marin J.A.,3,0
2000-01-17,Hard,5,Sekulov J.,Ljubicic I.,3,2
2000-01-17,Hard,5,Sluiter R.,Gaudenzi A.,3,2
2000-01-17,Hard,5,Squillari F.,Sirianni J.,3,0
2000-01-17,Hard,5,Srichaphan P.,Kucera K.,3,1
2000-01-17,Hard,5,Stafford G.,Safin M.,3,0
2000-01-17,Hard,5,Tieleman L.,Martin A.,3,1
2000-01-17,Hard,5,Tillstrom M.,Lareau S.,3,1
2000-01-17,Hard,5,Ullyett K.,Tabara M.,3,1
2000-01-17,Hard,5,Vacek D.,Stanoytchev O.,3,1
2000-01-17,Hard,5,Vanek J.,Wessels P.,3,1
2000-01-17,Hard,5,Vicente F.,Berasategui A.,3,0
2000-01-17,Hard,5,Vinciguerra A.,Gumy H.,3,0
2000-01-17,Hard,5,Voinea A.,Spadea V.,3,2
2000-01-17,Hard,5,Woodbridge T.,Siemerink J.,3,0
2000-01-17,Hard,5,Woodforde M.,Sanguinetti D.,3,0
2000-01-17,Hard,5,Woodruff C.,Damm M.,3,0
2000-01-17,Hard,5,Zabaleta M.,Mantilla F.,3,1
2000-01-17,Hard,5,Agassi A.,Schalken S.,3,0
2000-01-17,Hard,5,Alami K.,Llodra M.,3,0
2000-01-17,Hard,5,Arazi H.,Jonsson F.,3,0
2000-01-17,Hard,5,Bjorkman J.,Vanek J.,3,1
2000-01-17,Hard,5,Black W.,Rosset M.,3,1
2000-01-17,Hard,5,Clavet F.,Ivanisevic G.,3,0
2000-01-17,Hard,5,Clement A.,Lapentti N.,2,1
2000-01-17,Hard,5,Dosedel S.,Srichaphan P.,3,1
2000-01-17,Hard,5,El Aynaoui Y.,Haas T.,3,0
2000-01-17,Hard,5,Escude N.,Krajicek R.,3,1
2000-01-17,Hard,5,Federer R.,Kroslak J.,3,0
2000-01-17,Hard,5,Ferreira W.,Johansson T.,3,2
2000-01-17,Hard,5,Ferrero J.C.,Tieleman L.,3,2
2000-01-17,Hard,5,Fromberg R.,Pretzsch A.,3,0
2000-01-17,Hard,5,Grosjean S.,Hill M.,3,1
2000-01-17,Hard,5,Henman T.,Schuettler R.,1,0
2000-01-17,Hard,5,Hewitt L.,Corretja A.,3,0
2000-01-17,Hard,5,Ilie A.,Novak J.,3,1
2000-01-17,Hard,5,Kafelnikov Y.,Vacek D.,3,0
2000-01-17,Hard,5,Kiefer N.,Behrend T.,3,0
2000-01-17,Hard,5,Koubek S.,Stafford G.,3,2
2000-01-17,Hard,5,Mirnyi M.,Dupuis A.,3,1
2000-01-17,Hard,5,Norman M.,Pozzi G.,3,0
2000-01-17,Hard,5,Philippoussis M.,Sluiter R.,3,1
2000-01-17,Hard,5,Rochus C.,Ullyett K.,3,0
2000-01-17,Hard,5,Sampras P.,Tillstrom M.,3,0
2000-01-17,Hard,5,Squillari F.,Woodforde M.,3,1
2000-01-17,Hard,5,Vicente F.,Martin T.,3,2
2000-01-17,Hard,5,Vinciguerra A.,Paes L.,3,0
2000-01-17,Hard,5,Voinea A.,Portas A.,3,0
2000-01-17,Hard,5,Woodruff C.,Sekulov J.,3,0
2000-01-17,Hard,5,Zabaleta M.,Woodbridge T.,3,1
2000-01-17,Hard,5,Agassi A.,Zabaleta M.,3,0
2000-01-17,Hard,5,Arazi H.,Vicente F.,3,0
2000-01-17,Hard,5,Clement A.,Federer R.,3,0
2000-01-17,Hard,5,Dosedel S.,Squillari F.,3,0
2000-01-17,Hard,5,El Aynaoui Y.,Ferrero J.C.,3,2
2000-01-17,Hard,5,Escude N.,Vinciguerra A.,3,0
2000-01-17,Hard,5,Ferreira W.,Clavet F.,3,1
2000-01-17,Hard,5,Henman T.,Grosjean S.,3,1
2000-01-17,Hard,5,Hewitt L.,Voinea A.,3,0
2000-01-17,Hard,5,Kafelnikov Y.,Koubek S.,3,0
2000-01-17,Hard,5,Kiefer N.,Alami K.,3,0
2000-01-17,Hard,5,Norman M.,Bjorkman J.,3,0
2000-01-17,Hard,5,Philippoussis M.,Ilie A.,3,0
2000-01-17,Hard,5,Rochus C.,Mirnyi M.,3,1
2000-01-17,Hard,5,Sampras P.,Black W.,3,2
2000-01-17,Hard,5,Woodruff C.,Fromberg R.,3,0
2000-01-17,Hard,5,Agassi A.,Philippoussis M.,3,1
2000-01-17,Hard,5,Arazi H.,Escude N.,3,0
2000-01-17,Hard,5,El Aynaoui Y.,Clement A.,3,2
2000-01-17,Hard,5,Kafelnikov Y.,Rochus C.,3,0
2000-01-17,Hard,5,Kiefer N.,Ferreira W.,3,0
2000-01-17,Hard,5,Norman M.,Hewitt L.,3,0
2000-01-17,Hard,5,Sampras P.,Dosedel S.,3,1
2000-01-17,Hard,5,Woodruff C.,Henman T.,3,2
2000-01-17,Hard,5,Agassi A.,Arazi H.,3,0
2000-01-17,Hard,5,Kafelnikov Y.,El Aynaoui Y.,3,0
2000-01-17,Hard,5,Norman M.,Kiefer N.,3,1
2000-01-17,Hard,5,Sampras P.,Woodruff C.,3,0
2000-01-17,Hard,5,Agassi A.,Sampras P.,3,2
2000-01-17,Hard,5,Kafelnikov Y.,Norman M.,3,0
2000-01-17,Hard,5,Agassi A.,Kafelnikov Y.,3,1
2000-02-07,Hard,3,Alami K.,Norman M.,2,0
2000-02-07,Hard,3,Arazi H.,Schuettler R.,2,0
2000-02-07,Hard,3,Black W.,Vacek D.,2,0
2000-02-07,Hard,3,Blanco G.,Schalken S.,2,0
2000-02-07,Hard,3,Costa A.,Berasategui A.,2,0
2000-02-07,Hard,3,El Aynaoui Y.,Ilie A.,2,0
2000-02-07,Hard,3,Ferrero J.C.,Damm M.,2,0
2000-02-07,Hard,3,Golmard J.,Clavet F.,2,1
2000-02-07,Hard,3,Kiefer N.,Burgsmuller L.,2,1
2000-02-07,Hard,3,Koubek S.,Marin J.A.,2,0
2000-02-07,Hard,3,Lapentti N.,Gross O.,2,0
2000-02-07,Hard,3,Mantilla F.,Black B.,2,0
2000-02-07,Hard,3,Martin A.,Tarango J.,2,1
2000-02-07,Hard,3,Novak J.,Alvarez E.,2,1
2000-02-07,Hard,3,Pavel A.,Prinosil D.,2,0
2000-02-07,Hard,3,Vicente F.,Paes L.,2,1
2000-02-07,Hard,3,Alami K.,Vicente F.,2,1
2000-02-07,Hard,3,Costa A.,Koubek S.,2,0
2000-02-07,Hard,3,El Aynaoui Y.,Blanco G.,2,1
2000-02-07,Hard,3,Ferrero J.C.,Lapentti N.,2,0
2000-02-07,Hard,3,Golmard J.,Pavel A.,2,1
2000-02-07,Hard,3,Kiefer N.,Martin A.,2,1
2000-02-07,Hard,3,Mantilla F.,Black W.,2,0
2000-02-07,Hard,3,Novak J.,Arazi H.,2,1
2000-02-07,Hard,3,Alami K.,Novak J.,2,0
2000-02-07,Hard,3,Costa A.,El Aynaoui Y.,2,0
2000-02-07,Hard,3,Ferrero J.C.,Mantilla F.,2,1
2000-02-07,Hard,3,Kiefer N.,Golmard J.,2,0
2000-02-07,Hard,3,Ferrero J.C.,Alami K.,2,0
2000-02-07,Hard,3,Kiefer N.,Costa A.,2,0
2000-02-07,Hard,3,Kiefer N.,Ferrero J.C.,2,1
2000-02-07,Hard,3,Clement A.,Pretzsch A.,2,1
2000-02-07,Hard,3,Diaz J.,Bjorkman J.,2,0
2000-02-07,Hard,3,Enqvist T.,Portas A.,2,1
2000-02-07,Hard,3,Federer R.,Dupuis A.,2,0
2000-02-07,Hard,3,Grosjean S.,di Pasquale A.,2,0
2000-02-07,Hard,3,Guardiola T.,Stanoytchev O.,2,1
2000-02-07,Hard,3,Ivanisevic G.,Saulnier C.,2,1
2000-02-07,Hard,3,Johansson T.,Bastl G.,2,0
2000-02-07,Hard,3,Kafelnikov Y.,Pozzi G.,2,1
2000-02-07,Hard,3,Kroslak J.,Hrbaty D.,2,0
2000-02-07,Hard,3,Ljubicic I.,Voinea A.,2,0
2000-02-07,Hard,3,Rosset M.,Arthurs W.,2,0
2000-02-07,Hard,3,Roux L.,Knippschild J.,0,0
2000-02-07,Hard,3,Santoro F.,Wessels P.,2,0
2000-02-07,Hard,3,Siemerink J.,Raoux G.,2,1
2000-02-07,Hard,3,Vinciguerra A.,Safin M.,2,0
2000-02-07,Hard,3,Federer R.,Johansson T.,2,0
2000-02-07,Hard,3,Grosjean S.,Roux L.,2,1
2000-02-07,Hard,3,Guardiola T.,Kroslak J.,2,0
2000-02-07,Hard,3,Ivanisevic G.,Enqvist T.,2,0
2000-02-07,Hard,3,Ljubicic I.,Kafelnikov Y.,2,0
2000-02-07,Hard,3,Rosset M.,Clement A.,2,0
2000-02-07,Hard,3,Santoro F.,Siemerink J.,2,1
2000-02-07,Hard,3,Vinciguerra A.,Diaz J.,2,0
2000-02-07,Hard,3,Federer R.,Ljubicic I.,2,1
2000-02-07,Hard,3,Grosjean S.,Vinciguerra A.,2,0
2000-02-07,Hard,3,Rosset M.,Ivanisevic G.,2,1
2000-02-07,Hard,3,Santoro F.,Guardiola T.,2,0
2000-02-07,Hard,3,Federer R.,Santoro F.,2,0
2000-02-07,Hard,3,Rosset M.,Grosjean S.,2,0
2000-02-07,Hard,3,Rosset M.,Federer R.,2,1
2000-02-07,Hard,3,Agenor R.,King P.,2,0
2000-02-07,Hard,3,Chang M.,Srichaphan P.,2,0
2000-02-07,Hard,3,Courier J.,Taino E.,2,0
2000-02-07,Hard,3,Ferreira W.,Salzenstein J.,2,0
2000-02-07,Hard,3,Gimelstob J.,Gambill J.M.,2,0
2000-02-07,Hard,3,Goldstein P.,Blake J.,2,0
2000-02-07,Hard,3,Gumy H.,Woodbridge T.,2,0
2000-02-07,Hard,3,Larsson M.,Rodriguez M.,2,0
2000-02-07,Hard,3,Liukko V.,Tieleman L.,2,0
2000-02-07,Hard,3,Malisse X.,Fromberg R.,2,1
2000-02-07,Hard,3,Mamiit C.,Alonso J.,2,0
2000-02-07,Hard,3,Philippoussis M.,Canas G.,2,1
2000-02-07,Hard,3,Sargsian S.,van Lottum J.,2,0
2000-02-07,Hard,3,Tillstrom M.,Squillari F.,2,0
2000-02-07,Hard,3,Woodforde M.,Humphries S.,2,0
2000-02-07,Hard,3,Zib T.,Massu N.,2,0
2000-02-07,Hard,3,Chang M.,Mamiit C.,2,0
2000-02-07,Hard,3,Courier J.,Gumy H.,2,1
2000-02-07,Hard,3,Ferreira W.,Liukko V.,2,0
2000-02-07,Hard,3,Gimelstob J.,Zib T.,2,0
2000-02-07,Hard,3,Goldstein P.,Malisse X.,2,1
2000-02-07,Hard,3,Larsson M.,Woodforde M.,2,1
2000-02-07,Hard,3,Philippoussis M.,Agenor R.,2,0
2000-02-07,Hard,3,Tillstrom M.,Sargsian S.,2,1
2000-02-07,Hard,3,Courier J.,Goldstein P.,2,0
2000-02-07,Hard,3,Ferreira W.,Larsson M.,2,1
2000-02-07,Hard,3,Philippoussis M.,Gimelstob J.,2,0
2000-02-07,Hard,3,Tillstrom M.,Chang M.,2,1
2000-02-07,Hard,3,Philippoussis M.,Courier J.,2,1
2000-02-07,Hard,3,Tillstrom M.,Ferreira W.,2,1
2000-02-07,Hard,3,Philippoussis M.,Tillstrom M.,2,1
2000-02-14,Hard,3,Levy H.,Sekulov J.,2,0
2000-02-14,Hard,3,MacPhie B.,Manta L.,2,1
2000-02-14,Hard,3,Mamiit C.,Jensen L.,2,0
2000-02-14,Hard,3,Massu N.,Etlis G.,2,0
2000-02-14,Hard,3,Popp A.,Behrend T.,2,0
2000-02-14,Hard,3,Pretzsch A.,Knowles M.,2,0
2000-02-14,Hard,3,Reneberg R.,Goldstein P.,2,0
2000-02-14,Hard,3,Rodriguez M.,Gimelstob J.,2,0
2000-02-14,Hard,3,Sa A.,Agenor R.,2,0
2000-02-14,Hard,3,Salzenstein J.,Jonsson F.,2,0
2000-02-14,Hard,3,Sanguinetti D.,Dupuis A.,2,0
2000-02-14,Hard,3,Srichaphan P.,Caratti C.,2,1
2000-02-14,Hard,3,Stanoytchev O.,Lareau S.,2,1
2000-02-14,Hard,3,Tieleman L.,Bryan B.,2,1
2000-02-14,Hard,3,Woodforde M.,Alonso J.,2,0
2000-02-14,Hard,3,Zib T.,Hantschk M.,2,0
2000-02-14,Hard,3,Black B.,Rodriguez M.,2,0
2000-02-14,Hard,3,Chang M.,Pretzsch A.,2,1
2000-02-14,Hard,3,Ferreira W.,Popp A.,2,0
2000-02-14,Hard,3,Fromberg R.,Sanguinetti D.,2,1
2000-02-14,Hard,3,Gambill J.M.,Stanoytchev O.,2,0
2000-02-14,Hard,3,Gumy H.,Massu N.,2,0
2000-02-14,Hard,3,Haas T.,Salzenstein J.,2,1
2000-02-14,Hard,3,Larsson M.,Zib T.,2,0
2000-02-14,Hard,3,Mamiit C.,Mirnyi M.,2,0
2000-02-14,Hard,3,Philippoussis M.,MacPhie B.,2,0
2000-02-14,Hard,3,Sa A.,Spadea V.,2,0
2000-02-14,Hard,3,Sargsian S.,Levy H.,2,0
2000-02-14,Hard,3,Schuettler R.,Srichaphan P.,2,1
2000-02-14,Hard,3,Tieleman L.,Courier J.,2,0
2000-02-14,Hard,3,Tillstrom M.,Reneberg R.,2,0
2000-02-14,Hard,3,Woodruff C.,Woodforde M.,2,1
2000-02-14,Hard,3,Black B.,Woodruff C.,2,1
2000-02-14,Hard,3,Chang M.,Gumy H.,2,0
2000-02-14,Hard,3,Ferreira W.,Mamiit C.,2,1
2000-02-14,Hard,3,Haas T.,Tillstrom M.,2,1
2000-02-14,Hard,3,Larsson M.,Philippoussis M.,0,0
2000-02-14,Hard,3,Sa A.,Fromberg R.,2,0
2000-02-14,Hard,3,Sargsian S.,Tieleman L.,2,0
2000-02-14,Hard,3,Schuettler R.,Gambill J.M.,2,1
2000-02-14,Hard,3,Black B.,Chang M.,2,0
2000-02-14,Hard,3,Haas T.,Ferreira W.,2,1
