Player_1,Player_2,Winner,Surface
Ferrero J.C.,Pavel A.,Pavel A.,Hard
Norman M.,Hewitt L.,Norman M.,Hard
Ilie A.,Fromberg R.,Fromberg R.,Hard
Grosjean S.,Norman M.,Norman M.,Hard
Hipfl M.,Puerta M.,Puerta M.,Hard
Black B.,Martin A.,Black B.,Hard
Goldstein P.,Rodriguez M.,Rodriguez M.,Hard
Grosjean S.,Gambill J.M.,Grosjean S.,Hard
Hrbaty D.,Kroslak J.,Kroslak J.,Hard
Grosjean S.,Vinciguerra A.,Grosjean S.,Hard
Novak J.,Corretja A.,Novak J.,Hard
Liukko V.,Johansson T.,Liukko V.,Hard
Massu N.,di Pasquale A.,Massu N.,Hard
Gumy H.,Mirnyi M.,Mirnyi M.,Hard
O'Brien A.,Pretzsch A.,Pretzsch A.,Hard
Kafelnikov Y.,Schalken S.,Schalken S.,Hard
Hrbaty D.,Kratochvil M.,Hrbaty D.,Hard
Ivanisevic G.,Ljubicic I.,Ljubicic I.,Hard
El Aynaoui Y.,Costa A.,Costa A.,Hard
Lapentti N.,Enqvist T.,Lapentti N.,Hard
Corretja A.,Kucera K.,Corretja A.,Hard
Federer R.,Clement A.,Federer R.,Hard
Arazi H.,Rochus C.,Arazi H.,Hard
Charpentier M.,Kuerten G.,Kuerten G.,Hard
Rafter P.,Gumy H.,Rafter P.,Hard
Canas G.,Philippoussis M.,Philippoussis M.,Hard
Black B.,Henman T.,Henman T.,Hard
Arazi H.,Hipfl M.,Arazi H.,Hard
Ferrero J.C.,Golmard J.,Ferrero J.C.,Hard
Tillstrom M.,Mirnyi M.,Mirnyi M.,Hard
Martin A.,Rios M.,Rios M.,Hard
Vicente F.,di Pasquale A.,Vicente F.,Hard
Kroslak J.,Voinea A.,Kroslak J.,Hard
Manta L.,Schuettler R.,Schuettler R.,Hard
Medvedev A.,Bjorkman J.,Bjorkman J.,Hard
Henman T.,Lisnard J.,Henman T.,Hard
Federer R.,Chang M.,Federer R.,Hard
Sargsian S.,Tillstrom M.,Tillstrom M.,Hard
Rafter P.,Mirnyi M.,Rafter P.,Hard
Lapentti N.,Henman T.,Henman T.,Hard
Sampras P.,Kuerten G.,Sampras P.,Hard
Spadea V.,Voinea A.,Voinea A.,Hard
Kafelnikov Y.,Moya C.,Moya C.,Hard
Rosset M.,Philippoussis M.,Philippoussis M.,Hard
Rafter P.,Ferreira W.,Ferreira W.,Hard
MacPhie B.,Philippoussis M.,Philippoussis M.,Hard
Diaz J.,Agenor R.,Agenor R.,Hard
Arazi H.,Mantilla F.,Arazi H.,Hard
Golmard J.,Ferrero J.C.,Golmard J.,Hard
Stoltenberg J.,Hrbaty D.,Stoltenberg J.,Hard
Weiner G.,Johansson T.,Johansson T.,Hard
Manta L.,Lopez-Moron A.,Lopez-Moron A.,Hard
Rusedski G.,Golmard J.,Rusedski G.,Hard
Grosjean S.,Willems R.,Grosjean S.,Hard
Kuerten G.,Norman M.,Kuerten G.,Hard
Johansson T.,Novak J.,Novak J.,Hard
Ivanisevic G.,Costa A.,Costa A.,Hard
Arazi H.,Gambill J.M.,Arazi H.,Hard
Costa A.,Portas A.,Costa A.,Hard
Pretzsch A.,Jonsson F.,Jonsson F.,Hard
Chang M.,Gambill J.M.,Gambill J.M.,Hard
Zabaleta M.,Saulnier C.,Zabaleta M.,Hard
di Pasquale A.,Vinciguerra A.,di Pasquale A.,Hard
Sampras P.,Vinciguerra A.,Sampras P.,Hard
Agassi A.,Henman T.,Agassi A.,Hard
Spadea V.,Gimelstob J.,Gimelstob J.,Hard
Canas G.,Puerta M.,Puerta M.,Hard
Norman M.,Hewitt L.,Norman M.,Hard
Ljubicic I.,Dosedel S.,Dosedel S.,Hard
Zib T.,Pozzi G.,Pozzi G.,Hard
Blanco G.,Stanoytchev O.,Blanco G.,Hard
Dewulf F.,Federer R.,Federer R.,Hard
Sargsian S.,Pavel A.,Pavel A.,Hard
Safin M.,Gaudio G.,Safin M.,Hard
Sanchez J.,Schuettler R.,Schuettler R.,Hard
Puerta M.,Marin J.A.,Puerta M.,Hard
Hrbaty D.,Medvedev A.,Medvedev A.,Hard
Squillari F.,Rochus C.,Rochus C.,Hard
Vicente F.,Rodriguez M.,Vicente F.,Hard
Golmard J.,Mantilla F.,Mantilla F.,Hard
Vicente F.,Ferrero J.C.,Ferrero J.C.,Hard
Hewitt L.,Rios M.,Hewitt L.,Hard
Pozzi G.,Federer R.,Federer R.,Hard
Kuerten G.,Pavel A.,Kuerten G.,Hard
Vacek D.,Martin A.,Martin A.,Hard
Ferreira W.,Schalken S.,Ferreira W.,Hard
Gimelstob J.,Fromberg R.,Fromberg R.,Hard
Phau B.,Ulihrach B.,Ulihrach B.,Hard
Enqvist T.,Kucera K.,Enqvist T.,Hard
Lapentti N.,Ferrero J.C.,Ferrero J.C.,Hard
Ketola T.,Bastl G.,Bastl G.,Hard
Tieleman L.,Hantschk M.,Hantschk M.,Hard
Henman T.,Costa A.,Henman T.,Hard
Gambill J.M.,Ferreira W.,Ferreira W.,Hard
Kratochvil M.,Woodruff C.,Woodruff C.,Hard
Martin A.,Bruguera S.,Martin A.,Hard
Clavet F.,Ferreira W.,Ferreira W.,Hard
Blanco G.,Schalken S.,Schalken S.,Hard
van Lottum J.,Gaudenzi A.,Gaudenzi A.,Hard
Clement A.,Enqvist T.,Enqvist T.,Hard
Squillari F.,Dosedel S.,Squillari F.,Hard
Arazi H.,Jonsson F.,Arazi H.,Hard
Hewitt L.,Goldstein P.,Hewitt L.,Hard
Koubek S.,Savolt A.,Savolt A.,Hard
Tarango J.,Stoltenberg J.,Stoltenberg J.,Hard
Escude N.,Baccanello P.,Escude N.,Hard
di Pasquale A.,Canas G.,Canas G.,Hard
Safin M.,Rosset M.,Safin M.,Hard
Voinea A.,Vacek D.,Voinea A.,Hard
Zabaleta M.,Ferrero J.C.,Ferrero J.C.,Hard
Henman T.,Hewitt L.,Hewitt L.,Hard
Woodruff C.,Tieleman L.,Woodruff C.,Hard
Norman M.,Johansson T.,Norman M.,Hard
Sa A.,Tarango J.,Tarango J.,Hard
Krajicek R.,Enqvist T.,Krajicek R.,Hard
Philippoussis M.,Larsson M.,Larsson M.,Hard
Arazi H.,Woodruff C.,Arazi H.,Hard
Arazi H.,Ferreira W.,Ferreira W.,Hard
Pioline C.,Alami K.,Pioline C.,Hard
Hood M.,Portas A.,Portas A.,Hard
Knippschild J.,Federer R.,Federer R.,Hard
Santoro F.,Kiefer N.,Santoro F.,Hard
Siemerink J.,Squillari F.,Squillari F.,Hard
Goldstein P.,Ivanisevic G.,Ivanisevic G.,Hard
